---,tileName,rotation,mappings
Base_0,"Base_0","0","((""x+"", (dirToCountMap=((""CeilingCorner_3"", 3)))))"
InnerCorner_1,"InnerCorner_1","1","()"
InnerCorner_2,"InnerCorner_2","2","()"
Corner_0,"Corner_0","0","()"
Corner_3,"Corner_3","3","()"
FloorEdge_0,"FloorEdge_0","0","()"
FloorEdge_2,"FloorEdge_2","2","()"
Corner_1,"Corner_1","1","()"
Corner_2,"Corner_2","2","()"
FloorEdge_1,"FloorEdge_1","1","()"
WallTurn_0,"WallTurn_0","0","()"
WallTurn_1,"WallTurn_1","1","()"
WallTurn_2,"WallTurn_2","2","()"
WallTurn_3,"WallTurn_3","3","()"
Wall_3,"Wall_3","3","()"
Wall_1,"Wall_1","1","()"
WallTurnOuter_1,"WallTurnOuter_1","1","()"
WallTurnOuter_2,"WallTurnOuter_2","2","()"
Wall_0,"Wall_0","0","()"
CeilingCorner_0,"CeilingCorner_0","0","()"
CeilingCorner_1,"CeilingCorner_1","1","()"
CeilingCorner_2,"CeilingCorner_2","2","()"
CeilingCorner_3,"CeilingCorner_3","3","()"
Ceiling_0,"Ceiling_0","0","()"
CeilingEdge_0,"CeilingEdge_0","0","()"
CeilingEdge_1,"CeilingEdge_1","1","()"
CeilingEdge_2,"CeilingEdge_2","2","()"
CeilingInnerCorner_0,"CeilingInnerCorner_0","0","()"
CeilingInnerCorner_1,"CeilingInnerCorner_1","1","()"
